"統計期","捷運站別","進站人次","出站人次","進站人次增減率[%]","出站人次增減率[%]"
"90年","新店區公所",2518529,2560583,2.61,2.64
"90年","七張",3692342,3398719,4.48,5.76
"90年","大坪林",3787215,3493910,7.99,8.02
"90年","景美",3807974,3893325,4.63,5.11
"90年","萬隆",2164573,1960313,3.42,2.37
"90年","公館",6877740,7540555,6.90,6.43
"90年","台電大樓",3357456,3084052,4.14,2.40
"90年","古亭",7183060,7310851,2.10,1.21
"90年","中正紀念堂",6346138,6093085,-0.13,-0.99
"90年","小南門",931243,915305,198.12,199.22
"90年","頂溪",6996962,7523923,0.59,1.87
"90年","永安市場",4581894,4537972,-1.84,-1.74
"90年","景安",4321180,4171171,-2.19,0.09
"90年","南勢角",4862227,4723429,-2.24,-2.54
"90年","台大醫院",8060309,8267792,21.27,20.35
"90年","台北車站BL",29170908,26862354,43.16,64.01
"90年","台北車站R",0,0,0,0
"90年","中山R",8887787,9165339,8.83,7.51
